Time,Analytical,Experimental
0,-20.53339581,-22.998
1,-19.64751389,-20.064
2,-18.6662927,-17.912
3,-17.71135752,-16.221
4,-16.75896801,-14.826
5,-15.80667059,-13.608
6,-14.85730361,-12.507
7,-13.91391149,-11.597
8,-12.97897658,-10.818
9,-12.05444873,-10.102
10,-11.14185887,-9.541
11,-10.2424101,-8.962
12,-9.357042546,-8.454
13,-8.486480586,-7.955
14,-7.631268975,-7.531
15,-6.791801733,-7.123
16,-5.968346027,-6.728
17,-5.16106229,-6.397
18,-4.370021354,-6.01
19,-3.595219111,-5.571
20,-2.836589079,-5.239
21,-2.094013184,-4.495
22,-1.367330996,-3.166
23,-0.656347629,-1.491
24,0.03915951,0.005
25,0.719434968,1.318
26,1.384740356,2.932
27,2.035350205,4.337
28,2.671548459,5.742
29,3.293625527,7.07
30,3.901875807,8.22
